"id";"question";"option_one";"option_two";"option_three";"option_four";"correct_answer";"certificate_type"
144;"Which of the following describes structure-based (white-box) test case design techniques?";"a. Test cases are derived systematically from models of the system.";"b. Test cases are derived systematically from the testerﾒs experience.";"c. Test cases are derived systematically from the delivered code.";"d. Test cases are derived from the developersﾒ experience.";3;
145;"Which of the following is a structure-based (white-box) technique?";"a. Decision table testing";"b. State transition testing";"c. Statement testing";"d. Boundary value analysis";3;
146;"A washing machine has three temperature bands for different kinds of fabrics: fragile fabrics are washed at temperatures between 15 and 30 degrees Celsius; normal fabrics are washed at temperatures between 31 and 60 degrees Celsius;heavily soiled and tough fabrics are washed at temperatures between 61 and 100 degrees Celsius.
Which of the following contains only values that are in different equivalence partitions?";"a. 15, 30, 60";"b. 20, 35, 60          ";"c. 25, 45, 75            ";"d. 12, 35, 55";3;
147;"Consider the following pseudo code:
1 Begin
2 Read Time
3 If Time < 12 Then
4 Print(Time, ﾓamﾔ)
5 Endif
6 If Time > 12 Then
7 Print(Time -12, ﾓpmﾔ)
8 Endif
9 If Time = 12 Then
10 Print (Time, ﾓnoonﾔ)
11 Endif
12 End
How many test cases are needed to achieve 100 per cent decision coverage?
";"a. 1        ";"b. 2             ";"c. 3            ";"d. 4";3;
148;"Consider the following pseudo code:
1 Begin
2 Read Time
3 If Time < 12 Then
4 Print(Time, ﾓamﾔ)
5 Endif
6 If Time > 12 Then
7 Print(Time -12, ﾓpmﾔ)
8 Endif
9 If Time = 12 Then
10 Print (Time, ﾓnoonﾔ)
11 Endif
12 End

If the test cases Time = 11 and Time = 15 were input, what level of decision coverage would be achieved?
";"a.100% or 6/6";"b. 50% or 3/6";"c. 67% or 4/6";"d.83% or 5/6";4;
149;"What is the main purpose of use case testing?";"a. To identify defects in process flows related to typical use of the system.";"b. To identify defects in the connections between components.";"c. To identify defects in the system related to extreme scenarios.";"d. To identify defects in the system related to the use of unapproved programming practices.";1;
150;"Which of the following are the most important factors to be taken into account
when selecting test techniques?

(i) Tools available.
(ii) Regulatory standards.
(iii) Experience of the development team.
(iv) Knowledge of the test team.
(v) The need to maintain levels of capability in each technique.
";"a. (i) and (ii)";"b. (ii) and (iv)";"c. (iii) and (iv)";"d. (i) and (v)";2;
151;"An input field takes the year of birth between 1900 and 2004.
 The boundary values for testing this field are
";"a.ﾠﾠﾠﾠﾠ 0,1900,2004,2005   ";"b.ﾠﾠﾠﾠﾠ 1900, 2004";"c. 1899,1900,2004,2005";"d.ﾠﾠﾠﾠﾠ 1898, 1899, 1900,2004,2005,2006";3;
152;"When assembling a test team to work on an enhancement to an existing system, which of the following has the highest level of test independence?";"a. A business analyst who wrote the original requirements for the system.";"b. A permanent programmer who reviewed some of the new code, but has not written any of it.";"c. A permanent tester who found most defects in the original system.";"d. A contract tester who has never worked for the organisation before.";4;
153;"What test roles (or parts in the testing process) is a developer most likely to perform?
(i) Executing component integration tests.
(ii) Static analysis.
(iii) Setting up the test environment.
(iv) Deciding how much testing should be automated.";"a. (i) and (ii)";"b. (i) and (iv)";"c. (ii) and (iii)";"d. (iii) and (iv)";1;
154;"Which of the following are valid justifications for developers testing their own code during unit testing?
(i) Their lack of independence is mitigated by independent testing during system and acceptance testing.
(ii) A person with a good understanding of the code can find more defects more quickly using white-box techniques.
(iii) Developers have a better understanding of the requirements than testers.
(iv) Testers write unnecessary incident reports because they find minor differences between the way in which the system behaves and the way in which it is specified to work.";"a. (i) and (ii)";"b. (i) and (iv)";"c. (ii) and (iii)";"d. (iii) and (iv)";1;
155;"Which of the following terms is used to describe the management of software components comprising an integrated system?";"a. Configuration management";"b. Incident management";"c. Test monitoring";"d. Risk management";1;
156;"A new system is about to be developed. Which of the following functions has the highest level of risk?";"a. likelihood of failure = 20%; impact value = ﾣ100,000";"b. likelihood of failure = 10%; impact value = ﾣ150,000";"c. likelihood of failure = 1%; impact value = ﾣ500,000";"d. likelihood of failure = 2%; impact value = ﾣ200,000";1;
157;"Which of the following statements about risks is most accurate?";"a. Project risks rarely affect product risk.";"b. Product risks rarely affect project risk.";"c. A risk-based approach is more likely to be used to mitigate product rather than project risks.";"d. A risk-based approach is more likely to be used to mitigate project rather than product risks.";3;
158;" From a Testing perspective, what are the MAIN purposes of Configuration 
Management?:
i) Identifying the version of software under test.
ii) Controlling the version of testware items.
iii) Developing new testware items.
iv) Tracking changes to testware items.
v) Analysing the need for new testware items";"
A. ii, iv and ";" 
B. ii, iii and iv";"
C. i, ii and iv";"
D. i, iii and v";3;
159;"Which of the following is a MAJOR task of test planning?";"A. Scheduling test analysis and design tasks.";"B. Initiating corrective actions.";"C. Monitoring progress and test coverage.";"D. Measuring and analyzing results.";1;
160;"Which of the following BEST describes the difference between an inspection and a 
walkthrough?";"A. Both inspections and walkthroughs are led by the author.";"B. An inspection is led by a moderator and a walkthrough is led by the author.";"C. Both inspections and walkthroughs are led by a trained moderator.";"D. A walkthrough is led by the author. The author is not present during inspections.";2;
161;"Where may functional testing be performed?";"A. At system and acceptance testing levels only.";"B. At all test levels.";"C. At all levels above integration testing.";"D. At the acceptance testing level only.";2;
162;"What is the MAIN objective when reviewing a software deliverable?";"A. To identify potential application failures by use of a test specification.";"B. To identify defects in any software work product.";"C. To identify spelling mistakes in a requirements specification.";"D. To identify standards inconsistencies in the code.";2;
163;"Who would USUALLY perform debugging activities?";"A. Developers.";"B. Analysts.";"C. Testers.";"D. Incident Managers.";1;
164;"Which of the following would you NOT usually find on a software incident report?";"A. The name and/or organisational position of the person raising the problem.";"B. Version of the Software Under Test.";"C. Suggestions as to how to fix the problem.";"D. Actual and expected results.";3;
165;"Which of the following defines the expected results of a test?";"A. Test case specification.";"B. Test design specification.";"C. Test procedure specification.";"D. Test results.";1;
166;"Some tools are geared more for developer use. For the 5 tools listed, which 
statement BEST details those for developers
i) Performance testing tools.
ii) Coverage measurement tools.
iii) Test comparators.
iv) Dynamic analysis tools.
v) Incident management tools.";"A. i, iii. and iv. are more for developers.";"B. ii. and iv. are more for developers.";"C. ii, iii. and iv. are more for developers.";"D. ii. and iii. are more for developers.";2;
167;"Which of the following is correct?";"A. Impact analysis assesses the effect on the system of a defect found in regression testing.";"B. Impact analysis assesses the effect of a new person joining the regression test team.";"C. Impact analysis assesses whether or not a defect found in regression testing has been 
fixed correctly.";"D. Impact analysis assesses the effect of a change to the system to determine how much 
regression testing to do.";4;
168;"As part of which test process do you determine the exit criteria?";"A. Test planning.";"B. Evaluating exit criteria and reporting.";"C. Test closure.";"D. Test control.";1;
169;"Which of the following is a MAJOR task of test implementation and execution?";"A. Measuring and analyzing results.";"B. Reporting discrepancies as incidents.";"C. Identifying test conditions or test requirements.";"D. Assessing if more tests are needed.";2;
170;"What is beta testing?";"A. Testing performed by potential customers at the developers location.";"B. Testing performed by potential customers at their own locations.";"C. Testing performed by product developers at the customer's location.";"D. Testing performed by product developers at their own locations.";2;
171;" Given the following fragment of code, how many tests are required for 100% 
decision coverage?
if width > length
then
biggest_dimension = width
if height > width
then
biggest_dimension = height
end_if
else
biggest_dimension = length
if height > length
then
biggest_dimension = height
end_if
end_i";"
A. 3";"
B. 4";"
C. 2";"D. 1";2;
172;"You have designed test cases to provide 100% statement and 100% decision 
coverage for the following fragment of code.
if width > length
then
biggest_dimension = width
else
biggest_dimension = length
end_if
The following has been added to the bottom of the code fragment above.
print ""Biggest dimension is "" & biggest_dimension
print ""Width: "" & width
print ""Length: "" & length
How many more test cases are required?";"A. One more test case will be required for 100 % decision coverage.";"B. Two more test cases will be required for 100 % statement coverage, one of which will be 
used to provide 100% decision coverage.";"C. None, existing test cases can be used.";"D. One more test case will be required for 100"" statement coverage.";3;
173;"A thermometer measures temperature in whole degrees only. If the temperature 
falls below 18 degrees, the heating is switched off. It is switched on again when the 
temperature reaches 21 degrees. What are the best values in degrees to cover all 
equivalence partitions?";"A. 15, 19 and 25.";"B. 17, 18 and19.";"C. 18, 20 and22.";"D. 16, 26 and 32.";1;
174;"Which activity in the fundamental test process creates test suites for efficient 
test execution?";"A. Implementation and execution.";"B. Planning and control.";"C. Analysis and design.";"D. Test closure.";1;
175;"Which of the following is TRUE?";"A. Confirmation testing is testing fixes to a set of defects and Regression testing is testing 
to establish whether any defects have been introduced as a result of changes.";"B. Confirmation testing is testing to establish whether any defects have been introduced as 
a result of changes and Regression testing is testing fixes to a set of defects.";"C. Confirmation testing and Regression testing are both testing to establish whether any 
defects have been introduced as a result of changes.";"D. Confirmation testing and Regression testing are both testing fixes to a set of defects.";1;
176;"When should configuration management procedures be implemented?";"A. During test planning.";"B. During test analysis.";"C. During test execution.";"D. When evaluating exit criteria";1;
177;"Which of the following are characteristic of regression testing ?
i) Regression testing is run ONLY once
ii) Regression testing is used after fixes have been made
iii) Regression testing is often automated
iv) Regression tests need not be maintained";"A. ii, iv.";"B. ii, iii.";"C. i, iii, iv.";"D. iii.";2;
178;"A wholesaler sells printer cartridges. The minimum order quantity is 5. There is 
a 20% discount for orders of 100 or more printer cartridges. You have been asked to 
prepare test cases using various values for the number of printer cartridges ordered. 
Which of the following groups contain three test inputs that would be generated using 
Boundary Value Analysis?";"A. 5, 6, 20";"B. 4, 5, 80";"C. 4, 5, 99";"D. 1, 20, 100";3;
179;"Which of the following activities should be performed during the selection and 
implementation of a testing tool?
i) Investigate the organisation's test process.
ii) Conduct a proof of concept.
iii) Implement the selected tool on a project behind schedule to save time.
iv) Identify coaching and mentoring requirements for the use of the selected tool.";"A. i, ii, iii.";"B. ii, iii, iv.";"C. i, iii, iv.";"D. i, ii, iv.";4;
180;"What is the MAIN benefit of designing tests early in the life cycle?";"A. It is cheaper than designing tests during the test phases.";"B. It helps prevent defects from being introduced into the code.";"C. Tests designed early are more effective than tests designed later.";"D. It saves time during the testing phases when testers are busy.";2;
181;"Which of the following benefits are MOST likely to be achieved by using test 
tools?
i) Easy to access information about tests and testing.
ii) Reduced maintenance of testware.
iii) Easy and cheap to implement.
iv) Greater consistency of tests.";"A. ii and iv";"B. ii and iii";"C. i and iv";"D. i and iii";3;
182;"What is the KEY difference between preventative and reactive approaches to 
testing?";"A. Preventative tests and reactive tests are designed as early as possible.";"B. Preventative tests are designed early; reactive tests are designed after the software has 
been produced.";"C. Preventative testing is always analytical; reactive testing is always heuristic.";"D. Preventative tests are designed after the software has been produced; reactive tests are 
designed early in response to review comments.";2;
183;"What is the purpose of exit criteria?";"A. To define when a test level is complete.";"B. To determine when a test has completed.";"C. To identify when a software system should be retired.";"D. To determine whether a test has passed.";1;
184;"What determines the level of risk?";"A. The cost of dealing with an adverse event if it occurs.";"B. The probability that an adverse event will occur.";"C. The amount of testing planned before release of a system.";"D. The likelihood of an adverse event and the impact of the event.";4;
185;"With which of the following categories is a test comparator tool USUALLY 
associated?";"A. Tool support for performance and monitoring.";"B. Tool support for static testing.";"C. Tool support for test execution and logging.";"D. Tool support for the management of testing and tests.";3;
186;"Which activities form part of test planning?
i) Developing test cases.
ii) Defining the overall approach to testing.
iii) Assigning resources.
iv) Building the test environment
v) Writing test conditions.";"A. i, ii & iv are true, iii & v are false.";"B. ii & iii are true, i, iv & v are false.";"C. iv & v are true, i, ii & iii are false.";"D. i, ii & iii are true iv & v are false.";2;
187;"Match the following terms and statements.
1.Decision Table Testing
2.Decision Testing
3.State Transition Testing
4.Exploratory Testing
W. Testing carried out w boxes to achieve specific test objectives, possibly to complement 
structured testing.
X. A test technique used which may be used to verify different system re depending on 
current conditions or previous history.
Y. A test technique which combines combinations of inputs that might not otherwise have 
been exercised during testing.
Z. A form of control flow testing based on decision outcomes.";"A. 1Y, 2Z, 3X, 4W.";"B. 1X ,2W, 3Z, 4Y.";"C. 1Z, 2X, 3W, 4Y.";"D. 1Z, 2Y, 3X, 4W.";1;
188;"Which type of test design techniques does the following statement best describe 
a procedure to derive test cases based on the specification of a component?";"A. Black Box Techniques.";"B. White Box Techniques.";"C. Glass Box Techniques.";"D. Experience Based Techniques.";1;
189;"For which of the following would a static analysis tool be MOST useful?";"A. Supporting reviews.";"B. Validating models of the software.";"C. Testing code executed in a special test harness.";"D. Enforcement of coding standards.";4;
190;"Which of the following types of defects is use case testing MOST LIKELY to 
uncover?
i) Defects in the process flows during real-world use of the system.
ii) Defects in the interface parameters in integration testing.
iii) Integration defects caused by the interaction and interference of different components.
iv) Defects in the system as it transitions between one state and another.";"A. ii, iii.";"B. i, iii.";"C. iii, iv.";"D. i, ii";2;
191;"Which of the following is MOST important in the selection of a test approach?";"A. Availability of tools to support the proposed techniques.";"B. The budget allowed for training in proposed techniques.";"C. Available skills and experience in the proposed techniques.";"D. The willingness of the test team to learn new techniques.";3;
192;"Which of the following is a benefit of test independence?";"A. It does not require familiarity with the code.";"B. It is cheaper than using developers to test their own code.";"C. It avoids author bias in defining effective tests.";"D. Testers are better at finding defects than developers.";3;
193;"Which of the following is MOST characteristic of specification based (black-box) 
techniques?";"A. Test cases can be easily automated.";"B. Test cases are independent of each other.";"C. Test cases are derived systematically from models of the system .";"D. Test cases are derived systematically from the delivered code.";3;
194;"Which of the following combinations correctly describes a valid approach to 
component testing:
i) Functional testing of the component in isolation.
ii) Structure-based testing of the code without recording incidents.
iii) Automated tests that are run until the component passes.
iv) Functional testing of the interfaces between modules.";"A. i and ii.";"B. I, ii and iii";"C. iii.";"D. ii and iv";2;
195;"Which of the following is a purpose of the review planning phase?";"A. Log defects.";"B. Explain the documents to the participants.";"C. Gather metrics.";"D. Allocate the individual roles.";4;
196;"A defect arrival rate curve:";"A. Shows the number of newly discovered defects per unit time";"B. Shows the number of open defects per unit time.";"C. Shows the cumulative total number of defects found up to this time.";"D. Any of these, depending on the company.";1;
197;"Which is the best definition of complete testing:";"A. You have discovered every bug in the program.";"B. You have tested every statement, branch, and combination of branches in the program.";"C. You have completed every test in the test plan.";"D. You have reached the scheduled ship date.";1;
198;"Complete statement and branch coverage means:";"A. That you have tested every statement in the program.";"B. That you have tested every statement and every branch in the program.";"C. That you have tested every IF statement in the program.";"D. That you have tested every combination of values of IF statements in the program";2;
199;"There are several risks of managing your project's schedule with a statistical 
reliability model. These include (choose one or more of the following):";"A. Testers spend more energy early in the product trying to find bugs than preparing to do 
the rest of the project's work more efficiently";"B. Managers might not realize that the testing effort is ineffective, late in the project, 
because they expect a low rate of bug finding, so the low rate achieved doesn't alarm 
them.";"C. It can increase the end-of-project pressure on testers to not find bugs, or to not report 
bugs.";"D. All of the above";4;
200;"Typical defects that are easier to find in reviews than in dynamic testing are:";"A. Deviations from standards,";"B. Requirement defects,";"C. Insufficient maintainability and incorrect interface specifications.";"D. All of the above.";4;
201;"Reviews, static analysis and dynamic testing have the same objective";"A. Identifying defects.";"B. Fixing defects.";"C. A. and B";"D. None of the above";1;
202;"We can achieve complete statement coverage but still miss bugs because:";"A. The failure occurs only if you reach a statement taking the TRUE branch of an IF 
statement, and you got to the statement with a test that passed through the FALSE branch.";"B. The failure depends on the program's inability to handle specific data values, rather than 
on the program's flow of control.";"C. We are not required to test code that customers are unlikely to execute.";"D. All of the above";2;
203;"Measurement dysfunction is a problem because:";"A. Even though the numbers you look at appear better, to achieve these numbers, people 
are doing other aspects of their work much less well.";"B. We don't know how to measure a variable (our measurement is dysfunctional) and so we 
don't know how to interpret the result.";"C. You are measuring the wrong thing and thus reaching the wrong conclusions.";"D. All of the above.";1;
204;"Important consequences of the impossibility of complete testing are (Choose one 
or more answers):";"A. We can never be certain that the program is bug free.";"B. We have no definite stopping point for testing, which makes it easier for some managers 
to argue for very little testing.";"C. We have no easy answer for what testing tasks should always be required, because every 
task takes time that could be spent on other high importance tasks.";"D. All of the above.";4;
205;"Poor software characteristics are";"A. Only Project risks";"B. Only Product risks";"C. Project risks and Product risks";"C. Project risks and Product risks
D. Project risks or Product risks";2;
206;"System testing should investigate";"A. Non-functional requirements only not Functional requirements";"B. Functional requirements only not non-functional requirements";"C. Non-functional requirements and Functional requirements";"D. Non-functional requirements or Functional requirements";3;
207;"Contract and regulation testing is a part of";"A. System testing";"B. Acceptance testing";"C. Integration testing";"D. Smoke testing";2;
208;"Find the correct flow of the phases of a formal review";"A. Planning, Review meeting, Rework, Kick off";"B. Planning, Individual preparation, Kick off, Rework";"C. Planning, Review meeting, Rework, Follow up";"D. Planning, Individual preparation, Follow up, Kick off";3;
209;"Which is not the testing objectives";"A. Finding defects";"B. Gaining confidence about the level of quality and providing information";"C. Preventing defects.";"D. Debugging defects";4;
210;"Maintenance releases and technical assistance centers are examples of which of 
the following costs of quality?";"A. External failure";"B. Internal failure";"C. Appraisal";"D. Prevention";1;
211;"Which is not the project risks";"A. Supplier issues";"B. Organization factors";"C. Technical issues";"D. Error-prone software delivered";4;
212;"Bug life cycle";"A. Open, Assigned, Fixed, Closed";"B. Open, Fixed, Assigned, Closed";"C. Assigned, Open, Closed, Fixed";"D. Assigned, Open, Fixed, Closed";1;
213;"Who is responsible for document all the issues, problems and open point that 
were identified during the review meeting";"A. Moderator";"B. Scribe";"C. Reviewers";"D. Author";2;
214;"ﾑXﾒ has given a data on a person age, which should be between 1 to 99. Using 
BVA which is the appropriate one";"A. 0,1,2,99";"B. 1, 99, 100, 98";"C. 0, 1, 99, 100";"D. ﾖ1, 0, 1, 99";3;
215;"Which is not a testing principle";"A. Early testing";"B. Defect clustering";"C. Pesticide paradox";"D. Exhaustive testing";4;
216;"A project that is in the implementation phase is six weeks behind schedule.
The delivery date for the product is four months away. The project is not allowed to slip 
the delivery date or compromise on the quality standards established for his product. Which 
of the following actions would bring this project back on schedule?";"A. Eliminate some of the requirements that have not yet been implemented.";"B. Add more engineers to the project to make up for lost work.";"C. Ask the current developers to work overtime until the lost work is recovered.";"D. Hire more software quality assurance personnel.";1;
217;"The ___________ Testing will be performed by the people at client own 
locations";"A. Alpha testing";"B. Field testing";"C. Performance testing";"D. System testing";2;
218;"Which of the following is the standard for the Software product quality";"A. ISO 1926";"B. ISO 829";"C. ISO 1012";"D. ISO 1028";1;
219;"Which is not a black box testing technique";"A. Equivalence partition";"B. Decision tables";"C. Transaction diagrams";"D. Decision testing";4;
220;"Find the mismatch";"A. Test data preparation tools ﾖ Manipulate Data bases";"B. Test design tools ﾖ Generate test inputs";"C. Requirement management tools ﾖ Enables individual tests to be traceable";"D. Configuration management tools ﾖ Check for consistence";4;
221;"Use cases can be performed to test";"A. Performance testing";"B. Unit testing";"C. Business scenarios";"D. Static testing";3;
222;"Purpose of test design technique is";"A. Identifying test conditions only, not Identifying test cases";"B. Not Identifying test conditions, Identifying test cases only";"C. Identifying test conditions and Identifying test cases";"D. Identifying test conditions or Identifying test cases";3;
223;"One person has been dominating the current software process improvement 
meeting. Which of the following techniques should the facilitator use to bring other 
team members into the discussion?";"A. Confront the person and ask that other team members be allowed to express their 
opinions.";"B. Wait for the person to pause, acknowledge the personﾒ s opinion, and ask for someone 
elseﾒ s opinion.";"C. Switch the topic to an issue about which the person does not have a strong opinion.";"D. Express an opinion that differs from the personﾒ s opinion in order to encourage others to 
express their ideas.";2;
224;"Stochastic testing using statistical information or operational profiles uses the 
following method";"A. Heuristic testing approach";"B. Methodical testing approach";"C. Model based testing approach";"D. Process or standard compliant testing approach";3;
225;"A software model that canﾒt be used in functional testing";"A. Process flow model";"B. State transaction model";"C. Menu structure model";"D. Plain language specification model";3;
226;"Arc testing is known as";"A. Branch testing";"B. Agile testing";"C. Beta testing";"D. Ad-hoc testing";1;
227;"The purpose of exit criteria is";"A. Define when to stop testing";"B. End of test level";"C. When a set of tests has achieved a specific pre condition";"D. All of the above";4;
228;"The ___________ technique can be used to achieve input and output coverage";"A. Boundary value analysis";"B. Equivalence partitioning";"C. Decision table testing";"D. State transition testing";2;
229;"The __________ testing is performed at the developing organizationﾒs site";"A. Unit testing";"B. Regression testing";"C. Alpha testing";"D. Integration testing";3;
230;"What is the main purpose of Informal review";"A. Inexpensive way to get some benefit";"B. Find defects";"C. Learning, gaining understanding, effect finding";"D. Discuss, make decisions, solve technical problems";1;
231;"Which is not a Component testing";"A. Check the memory leaks";"B. Check the robustness";"C. Check the branch coverage";"D. Check the decision tables";4;
232;"The software engineer's role in tool selection is";"A. To identify, evaluate, and rank tools, and recommend tools to management";"B. To determine what kind of tool is needed, then find it and buy it";"C. To initiate the tool search and present a case to management";"D. To identify, evaluate and select the tools";1;
233;"Which is not the fundamental test process";"A. Planning and control";"B. Test closure activities";"C. Analysis and design";"D. None";4;
234;"The ________ and ________ are used within individual workbenches to produce 
the right output products.";"A. Tools and techniques";"B. Procedures and standards";"C. Processes and walkthroughs";"D. Reviews and update";2;
235;"Which is not the software characteristics";"A. Reliability";"B. Usability";"C. Scalability";"D. Maintainability";3;
236;"The principle of Cyclomatic complexity, considering L as edges or links, N as 
nodes, P as independent paths";"A. L-N +2P";"B. N-L +2P";"C. L-N +P";"D. N-L +P";1;
237;"FPA is used to";"A. To measure the functional requirements of the project";"B. To measure the size of the functionality of an Information system";"C. To measure the functional testing effort";"D. To measure the functional flow";2;
238;"A _____ is the step-by-step method followed to ensure that standards are met";"A. SDLC";"B. Project Plan";"C. Policy";"D. Procedure";4;
239;"Which is not a test Oracle";"A. The existing system (For a bench mark)";"B. The code";"C. Individualﾒs knowledge";"D. User manual";2;
240;"PDCA is known as";"A. Plan, Do, Check, Act";"B. Plan, Do, Correct, Act";"C. Plan, Debug, Check, Act";"D. Plan, Do, Check, Accept";1;
241;"Which is the non-functional testing";"A. Performance testing";"B. Unit testing";"C. Regression testing";"D. Sanity testing";1;
242;"A Test Plan Outline contains which of the following:
i. Test Items
ii. Test Scripts
iii. Test Deliverables
iv. Responsibilities";"A. i,ii,iii are true and iv is false";"B. i,iii,iv are true and ii is false";"C. ii,iii are true and i and iv are false";"D. i,ii are false and iii , iv are true";2;
243;"Testing where in we subject the target of the test , to varying workloads to 
measure and evaluate the performance behaviors and ability of the target and of the 
test to continue to function properly under these different workloads.";"A. Load Testing";"B. Integration Testing";"C. System Testing";"D. Usability Testing";1;
244;"Which of the following is the task of a Tester?
i. Interaction with the Test Tool Vendor to identify best ways to leverage test tool on the 
project.
ii. Prepare and acquire Test Data
iii. Implement Tests on all test levels, execute and log the tests.
iv. Create the Test Specifications";"A. i, ii, iii is true and iv is false";"B. ii,iii,iv is true and i is false";"C. i is true and ii,iii,iv are false";"D. iii and iv is correct and i and ii are incorrect";2;
245;"What can static analysis NOT find?";"A. The use of a variable before it has been defined";"B. Unreachable (""dead"") code";"C. Memory leaks";"D. Array bound violations";3;
246;"White Box Techniques are also called as:";"A. Structural Testing";"B. Design Based Testin";"C. Error Guessing Technique";"D. Experience Based Technique";1;
247;"Reviewing the test Basis is a part of which phase";"A. Test Analysis and Design";"B. Test Implementation and execution";"C. Test Closure Activities";"D. Evaluating exit criteria and reporting";1;
248;"Component Testing is also called as :-
i. Unit Testing
ii. Program Testing
iii. Module Testing
iv. System Component Testing .";"A. i,ii,iii are true and iv is false";"B. i,ii,iii,iv are false";"C. i,ii,iv are true and iii is false";"D. all of above is true";1;
249;"Which of the following is not a major task of Exit criteria?";"A. Checking test logs against the exit criteria specified in test planning.";"B. Logging the outcome of test execution.";"C. Assessing if more tests are needed.";"D. Writing a test summary report for stakeholders.";2;
250;"Which of the following is true about Formal Review or Inspection:-
i. Led by Trained Moderator (not the author).
ii. No Pre Meeting Preparations
iii. Formal Follow up process.
iv. Main Objective is to find defects";"A. ii is true and i,iii,iv are false";"B. i,iii,iv are true and ii is false";"C. i,iii,iv are false and ii is true";"D. iii is true and I,ii,iv are false";2;
251;"The Phases of formal review process is mentioned below arrange them in the 
correct order.
i. Planning
ii. Review Meeting
iii. Rework
iv. Individual Preparations
v. Kick Off
vi. Follow Up";"A. i,ii,iii,iv,v,vi";"B. vi,i,ii,iii,iv,v";"C. i,v,iv,ii,iii,vi";"D. i,ii,iii,v,iv,vi";3;
252;"Testing activity which is performed to expose defects in the interfaces and in the 
interaction between integrated components is :";"A. System Level Testing";"B. Integration Level Testing";"C. Unit Level Testing";"D. Component Testing";2;
253;"Methodologies adopted while performing Maintenance Testing:";"A. Breadth Test and Depth Test";"B. Re-testing";"C. Confirmation Testing";"D. Sanity Testing";1;
254;"The Switch is switched off once the temperature falls below 18 and then it is 
turned on when the temperature is more than 21. When the temperature is more than 
21. Identify the Equivalance values which belong to the same class.";"A. 12,16,22";"B. 24,27,17";"C. 22,23,24";"D. 14,15,19";3;
255;"What is an equivalence partition (also known as an equivalence class)?";"A. A set of test cases for testing classes of objects";"B. An input or output range of values such that only one value in the range becomes a test 
case";"C. An input or output range of values such that each value in the range becomes a test case";"D. An input or output range of values such that every tenth value in the range becomes a 
test case.";2;
256;"Which of the following is not a part of the Test Implementation and Execution 
Phase";"A. Creating test suites from the test cases";"B. Executing test cases either manually or by using test execution tools";"C. Comparing actual results";"D. Designing the Tests";4;
257;"Link Testing is also called as :";"A. Component Integration testing";"B. Component System Testing";"C. Component Sub System Testing";"D. Maintenance testing";1;
258;"Who are the persons involved in a Formal Review :-
i. Manager
ii. Moderator
iii. Scribe / Recorder
iv. Assistant Manager";"A. i,ii,iii,iv are true";"B. i,ii,iii are true and iv is false.";"C. ii,iii,iv are true and i is false.";"D. i,iv are true and ii, iii are false.";2;
259;"Which of the following statements regarding static testing is false:";"A. Static testing requires the running of tests through the code";"B. Static testing includes desk checking";"C. Static testing includes techniques such as reviews and inspections";"D. Static testing can give measurements such as cyclomatic complexity";1;
260;"Designing the test environment set-up and identifying any required 
infrastructure and tools are a part of which phase";"A. Test Implementation and execution";"B. Test Analysis and Design";"C. Evaluating the Exit Criteria and reporting";"D. Test Closure Activities";2;
261;"A Type of functional Testing, which investigates the functions relating to 
detection of threats, such as virus from malicious outsiders.";"A. Security Testing";"B. Recovery Testing";"C. Performance Testing";"D. Functionality Testing";1;
262;"A Person who documents all the issues, problems and open points that were 
identified during a formal review.";"A. Moderator.";"B. Scribe";"C. Author";"D. Manager";2;
263;"The Test Cases Derived from use cases";"A. Are most useful in uncovering defects in the process flows during real world use of the 
system";"B. Are most useful in uncovering defects in the process flows during the testing use of the 
system";"C. Are most useful in covering the defects in the process flows during real world use of the 
system";"D. Are most useful in covering the defects at the Integration Level";1;
264;"One of the fields on a form contains a text box which accepts alpha numeric 
values. Identify the Valid Equivalence class";"A. BOOK";"B. Book";"C. Boo01k";"D. book";3;
265;"In a Examination a candidate has to score minimum of 24 marks inorder to clear 
the exam. The maximum that he can score is 40 marks. Identify the Valid Equivalance 
values if the student clears the exam.";"A. 22,23,26";"B. 21,39,40";"C. 29,30,31";"D. 0,15,22";3;
266;"Verification involves which of the following :-
i. Helps to check the Quality of the built product
ii. Helps to check that we have built the right product.
iii. Helps in developing the product
iv. Monitoring tool wastage and obsoleteness.";"A. Options i,ii,iii,iv are true.";"B. i is true and ii,iii,iv are false";"C. i,ii,iii are true and iv is false";"D. ii is true and i,iii,iv are false.";2;
267;"A Project risk includes which of the following :";"A. Organizational Factors";"B. Poor Software characteristics";"C. Error Prone software delivered.";"D. Software that does not perform its intended functions";1;
268;"Which of the following is a Key Characteristics of Walk Through";"A. Scenario , Dry Run , Peer Group";"B. Pre Meeting Preparations";"C. Formal Follow Up Process";"D. Includes Metrics";1;
269;"Which of the following techniques is NOT a White box technique?";"A. Statement Testing and coverage";"B. Decision Testing and coverage";"C. Condition Coverage";"D. Boundary value analysis";4;
270;"Reporting Discrepancies as incidents is a part of which phase :";"A. Test Analysis and Design";"B. Test Implementation and execution";"C. Test Closure Activities";"D. Evaluating exit criteria and reporting";2;
